"Hit","Start","Stop","Core","Description","Count","ID","Cluster","Type","Type2","Evalue","Bitscore","Model"
"hit_1",1118001,1118622,"TIGR00057","TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family",2,15,15,"core","core",NA,NA,"Core"
"hit_1",1210337,1211417,"TIGR01430","aden_deam: adenosine deaminase",5,16,16,"core","core",NA,NA,"Core"
NA,1305890,1307336,"Not_core","Gp_dh_N",1,17,17,"resistance","resistance",2.9e-39,133.2,"PF00044.19"
NA,1486848,1488651,"Not_core","ABC_efflux",1,18,18,"resistance","resistance",2e-78,262.8,"RF0007"
"hit_1",1493927,1494182,"TIGR00105","L31: ribosomal protein bL31",2,19,19,"core","core",NA,NA,"Core"
"hit_1",1607820,1609002,"TIGR00485","EF-Tu: translation elongation factor Tu",2,20,20,"core","core",NA,NA,"Core"
NA,1782418,1783468,"Not_core","OTCace",1,21,21,"resistance","resistance",8.3e-37,125.3,"PF00185.19"
"hit_2",1815118,1816189,"TIGR00635","ruvB: Holliday junction DNA helicase RuvB",2,22,22,"core","core",NA,NA,"Core"
"hit_1",1854506,1858388,"TIGR03160","cobT_DBIPRT: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase",2,23,23,"core","core",NA,NA,"Core"
NA,1948555,1949320,"Not_core","Proteasome",1,24,24,"resistance","resistance",7.8e-26,89.3,"PF00227.21"
NA,1949394,1950171,"Not_core","Proteasome",1,25,25,"resistance","resistance",6.9e-38,128.6,"PF00227.21"
"hit_1",1969763,1971302,"TIGR01311","glycerol_kin: glycerol kinase",2,26,26,"core","core",NA,NA,"Core"
"hit_2",2054147,2055836,"TIGR02891","CtaD_CoxA: cytochrome c oxidase, subunit I",5,27,27,"core","core",NA,NA,"Core"
"hit_1",2247241,2248207,"TIGR00674","dapA: 4-hydroxy-tetrahydrodipicolinate synthase",2,28,28,"core","core",NA,NA,"Core"
NA,2258773,2259589,"Not_core","AAC3",1,29,29,"resistance","resistance",1.2e-57,193.6,"RF0002"
"hit_1",2269202,2270726,"TIGR00871","zwf: glucose-6-phosphate dehydrogenase",2,30,30,"core","core",NA,NA,"Core"
"hit_1",2270722,2271796,"TIGR00534","OpcA: glucose-6-phosphate dehydrogenase assembly protein OpcA",2,31,31,"core","core",NA,NA,"Core"
"hit_2",2289079,2290087,"TIGR01534","GAPDH-I: glyceraldehyde-3-phosphate dehydrogenase, type I",2,32,32,"core","core",NA,NA,"Core"
NA,2289079,2290087,"Not_core","Gp_dh_N",1,33,33,"resistance","resistance",2.4e-61,204.9,"PF00044.19"
"hit_1",2366563,2368000,"TIGR01064","pyruv_kin: pyruvate kinase",2,34,34,"core","core",NA,NA,"Core"
"hit_1",2371194,2373699,"TIGR02412","pepN_strep_liv: aminopeptidase N",3,35,35,"core","core",NA,NA,"Core"
"hit_3",2525428,2527162,"TIGR02891","CtaD_CoxA: cytochrome c oxidase, subunit I",5,36,36,"core","core",NA,NA,"Core"
"hit_2",2546594,2547746,"TIGR03160","cobT_DBIPRT: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase",2,37,37,"core","core",NA,NA,"Core"
NA,2553861,2555709,"Not_core","Biotin_lipoyl",1,38,38,"resistance","resistance",7.6e-48,158.8,"PF00364.17"
"hit_1",2556860,2559563,"TIGR00759","aceE: pyruvate dehydrogenase (acetyl-transferring), homodimeric type",2,39,39,"core","core",NA,NA,"Core"
"hit_3",2637331,2638057,"TIGR01915","npdG: NADPH-dependent F420 reductase",3,40,40,"core","core",NA,NA,"Core"
"hit_2",2777725,2780473,"TIGR00759","aceE: pyruvate dehydrogenase (acetyl-transferring), homodimeric type",2,41,41,"core","core",NA,NA,"Core"
NA,2878467,2879883,"Not_core","Carboxyl_trans",1,42,42,"resistance","resistance",2e-28,97.8,"PF01039.17"
NA,2889202,2891131,"Not_core","ABC_efflux",1,43,43,"resistance","resistance",6.5e-94,313.9,"RF0007"
"hit_2",2947597,2948908,"TIGR03356","BGL: beta-galactosidase",4,44,44,"core","core",NA,NA,"Core"
"hit_2",2958166,2959171,"TIGR01430","aden_deam: adenosine deaminase",5,45,45,"core","core",NA,NA,"Core"
"hit_1",2966703,2967840,"TIGR02349","DnaJ_bact: chaperone protein DnaJ",2,46,46,"core","core",NA,NA,"Core"
"hit_2",3075412,3077989,"TIGR02412","pepN_strep_liv: aminopeptidase N",3,47,47,"core","core",NA,NA,"Core"
"hit_3",3092085,3094659,"TIGR02412","pepN_strep_liv: aminopeptidase N",3,48,48,"core","core",NA,NA,"Core"
NA,3215472,3219222,"Not_core","ABC_efflux",1,49,49,"resistance","resistance",3.4e-167,555.7,"RF0007"
NA,3231960,3233577,"Not_core","Carboxyl_trans",1,50,50,"resistance","resistance",1.8e-163,543.2,"PF01039.17"
NA,3233591,3235544,"Not_core","Biotin_lipoyl",1,51,51,"resistance","resistance",1.8e-19,67.9,"PF00364.17"
"hit_1",3246397,3248215,"TIGR01135","glmS: glutamine-fructose-6-phosphate transaminase (isomerizing)",2,52,52,"core","core",NA,NA,"Core"
"hit_3",3256845,3258285,"TIGR03356","BGL: beta-galactosidase",4,53,53,"core","core",NA,NA,"Core"
"hit_1",3358809,3359166,"Cpn10","PF00166.17: Chaperonin 10 Kd subunit",2,54,54,"core","core",NA,NA,"Core"
"hit_2",3372316,3373663,"TIGR01513","NAPRTase_put: nicotinate phosphoribosyltransferase",2,55,55,"core","core",NA,NA,"Core"
"hit_2",3451493,3452552,"TIGR00020","prfB: peptide chain release factor 2",2,56,56,"core","core",NA,NA,"Core"
NA,3859699,3861550,"Not_core","Biotin_lipoyl",1,57,57,"resistance","resistance",1.9e-15,55,"PF00364.17"
NA,3861555,3863154,"Not_core","Carboxyl_trans",1,58,58,"resistance","resistance",6.3e-135,449.1,"PF01039.17"
NA,3965434,3966136,"Not_core","Pentapeptide_4",1,59,59,"resistance","resistance",9.9e-18,62.5,"PF13599.1"
"hit_1",4271838,4274142,"TIGR01695","murJ_mviN: murein biosynthesis integral membrane protein MurJ",2,60,60,"core","core",NA,NA,"Core"
NA,4289532,4290663,"Not_core","TIGR00663",1,61,61,"resistance","resistance",3.4e-90,301.1,"TIGR00663"
NA,4293898,4295962,"Not_core","DNA_gyraseB",1,62,62,"resistance","resistance",3.3e-61,204.2,"PF00204.20"
NA,4296004,4298599,"Not_core","DNA_topoisoIV",1,63,63,"resistance","resistance",1.9e-147,490.3,"PF00521.15"
NA,4340245,4341697,"Not_core","Biotin_lipoyl",1,64,64,"resistance","resistance",1.9e-17,61.5,"PF00364.17"
NA,4357579,4359010,"Not_core","Biotin_lipoyl",1,65,65,"resistance","resistance",8.9e-23,78.5,"PF00364.17"
NA,4400540,4401503,"Not_core","ClassA",1,66,66,"resistance","resistance",2e-93,311.1,"RF0053"
"hit_1",4486449,4488294,"TIGR02350","prok_dnaK: chaperone protein DnaK",2,67,67,"core","core",NA,NA,"Core"
"hit_2",4489010,4490186,"TIGR02349","DnaJ_bact: chaperone protein DnaJ",2,68,68,"core","core",NA,NA,"Core"
"hit_1",4738603,4739638,"TIGR00233","trpS: tryptophan--tRNA ligase",2,69,69,"core","core",NA,NA,"Core"
"hit_2",4777754,4779272,"TIGR01311","glycerol_kin: glycerol kinase",2,70,70,"core","core",NA,NA,"Core"
"hit_4",4888416,4890117,"TIGR02891","CtaD_CoxA: cytochrome c oxidase, subunit I",5,71,71,"core","core",NA,NA,"Core"
"hit_3",4926907,4927948,"TIGR01430","aden_deam: adenosine deaminase",5,72,72,"core","core",NA,NA,"Core"
NA,4935412,4938898,"Not_core","TIGR02013",1,73,73,"resistance","resistance",0,1811.5,"TIGR02013"
"hit_2",4947037,4948231,"TIGR00485","EF-Tu: translation elongation factor Tu",2,74,74,"core","core",NA,NA,"Core"
"hit_2",4972763,4973786,"TIGR02027","rpoA: DNA-directed RNA polymerase, alpha subunit",2,75,75,"core","core",NA,NA,"Core"
"hit_2",4992045,4993893,"TIGR01135","glmS: glutamine-fructose-6-phosphate transaminase (isomerizing)",2,76,76,"core","core",NA,NA,"Core"
"hit_2",5013006,5013315,"Cpn10","PF00166.17: Chaperonin 10 Kd subunit",2,77,77,"core","core",NA,NA,"Core"
"hit_2",5059646,5059940,"TIGR01808","CM_M_hiGC-arch: chorismate mutase",2,78,78,"core","core",NA,NA,"Core"
"hit_1",5122802,5124251,"SHMT","PF00464.15: Serine hydroxymethyltransferase",3,79,79,"core","core",NA,NA,"Core"
"hit_2",5126892,5127906,"TIGR00233","trpS: tryptophan--tRNA ligase",2,80,80,"core","core",NA,NA,"Core"
"hit_4",5184666,5185824,"TIGR01430","aden_deam: adenosine deaminase",5,81,81,"core","core",NA,NA,"Core"
NA,5203143,5204919,"Not_core","Biotin_lipoyl",1,82,82,"resistance","resistance",2e-17,61.4,"PF00364.17"
NA,5206839,5208429,"Not_core","Carboxyl_trans",1,83,83,"resistance","resistance",2.7e-196,651.5,"PF01039.17"
"hit_1",5480964,5481975,"TIGR00157","TIGR00157: ribosome small subunit-dependent GTPase A",2,84,84,"core","core",NA,NA,"Core"
"hit_5",5519276,5521001,"TIGR02891","CtaD_CoxA: cytochrome c oxidase, subunit I",5,85,85,"core","core",NA,NA,"Core"
"hit_2",5582919,5583141,"TIGR00105","L31: ribosomal protein bL31",2,86,86,"core","core",NA,NA,"Core"
"hit_2",5585252,5585900,"TIGR00057","TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family",2,87,87,"core","core",NA,NA,"Core"
"hit_2",5586692,5587931,"SHMT","PF00464.15: Serine hydroxymethyltransferase",3,88,88,"core","core",NA,NA,"Core"
"hit_2",5640700,5642128,"TIGR01064","pyruv_kin: pyruvate kinase",2,89,89,"core","core",NA,NA,"Core"
"hit_3",5696187,5697447,"SHMT","PF00464.15: Serine hydroxymethyltransferase",3,90,90,"core","core",NA,NA,"Core"
NA,5765225,5766830,"Not_core","Carboxyl_trans",1,91,91,"resistance","resistance",1.1e-201,669.2,"PF01039.17"
"hit_1",5829196,5829937,"TIGR02227","sigpep_I_bact: signal peptidase I",3,92,92,"core","core",NA,NA,"Core"
"hit_2",5830908,5831889,"TIGR02227","sigpep_I_bact: signal peptidase I",3,93,93,"core","core",NA,NA,"Core"
"hit_3",5831956,5832718,"TIGR02227","sigpep_I_bact: signal peptidase I",3,94,94,"core","core",NA,NA,"Core"
"hit_5",5860467,5861535,"TIGR01430","aden_deam: adenosine deaminase",5,95,95,"core","core",NA,NA,"Core"
"hit_1",5905150,5906287,"TIGR00612","ispG_gcpE: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase",2,96,96,"core","core",NA,NA,"Core"
"hit_2",5954884,5955787,"TIGR00674","dapA: 4-hydroxy-tetrahydrodipicolinate synthase",2,97,97,"core","core",NA,NA,"Core"
"hit_2",5993317,5994439,"TIGR02012","tigrfam_recA: protein RecA",2,98,98,"core","core",NA,NA,"Core"
NA,6054229,6056353,"Not_core","DNA_gyraseB",1,99,99,"resistance","resistance",1.4e-50,169.7,"PF00204.20"
NA,6065958,6068412,"Not_core","DNA_topoisoIV",1,100,100,"resistance","resistance",1.6e-146,487.3,"PF00521.15"
NA,6191447,6192455,"Not_core","OTCace",1,101,101,"resistance","resistance",2.9e-48,162.5,"PF00185.19"
"hit_1",6284123,6286091,"TIGR00204","dxs: 1-deoxy-D-xylulose-5-phosphate synthase",2,102,102,"core","core",NA,NA,"Core"
"hit_2",6448713,6449832,"TIGR00157","TIGR00157: ribosome small subunit-dependent GTPase A",2,103,103,"core","core",NA,NA,"Core"
"hit_2",6629728,6631411,"TIGR01695","murJ_mviN: murein biosynthesis integral membrane protein MurJ",2,104,104,"core","core",NA,NA,"Core"
"hit_2",6824083,6825955,"TIGR02350","prok_dnaK: chaperone protein DnaK",2,105,105,"core","core",NA,NA,"Core"
"hit_4",6899648,6901040,"TIGR03356","BGL: beta-galactosidase",4,106,106,"core","core",NA,NA,"Core"
"hit_2",6980369,6981305,"TIGR00534","OpcA: glucose-6-phosphate dehydrogenase assembly protein OpcA",2,107,107,"core","core",NA,NA,"Core"
"hit_2",6981301,6982924,"TIGR00871","zwf: glucose-6-phosphate dehydrogenase",2,108,108,"core","core",NA,NA,"Core"
"hit_2",7074278,7075436,"TIGR00612","ispG_gcpE: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase",2,109,109,"core","core",NA,NA,"Core"
"hit_2",7075480,7077394,"TIGR00204","dxs: 1-deoxy-D-xylulose-5-phosphate synthase",2,110,110,"core","core",NA,NA,"Core"
NA,7164494,7166429,"Not_core","ABC_efflux",1,111,111,"resistance","resistance",2.7e-77,259.1,"RF0007"
NA,7196834,7198016,"Not_core","Chlor_Efflux_Pump",1,112,112,"resistance","resistance",8.8e-117,389.1,"RF0051"
