#Core_gene	Count	Ref_median	Ref_stdev	Ref_RSD	Ref_ubiquity	[Hits_listed]	Description
TIGR00534	2.0	1.0	0.424	0.2526	0.3	[Unknown|-|Glucose-6-phosphate dehydrogenase subunit|loc|2376181 2377246 1 # ID=1_2105|Type=CDS|transl_table=11; Unknown|-|Glucose-6-phosphate dehydrogenase subunit|loc|7341239 7342166 -1 # ID=1_6495|Type=CDS|transl_table=11]	OpcA: glucose-6-phosphate dehydrogenase assembly protein OpcA
TIGR00753	2.0	1.0	0.4292	0.7316	0.8263	[Unknown|uppP1|Undecaprenyl-diphosphatase|loc|899428 900265 -1 # ID=1_800|Type=CDS|transl_table=11; Unknown|uppP2|Undecaprenyl-diphosphatase|loc|1657447 1658323 1 # ID=1_1454|Type=CDS|transl_table=11]	undec_PP_bacA: undecaprenyl-diphosphatase UppP
TIGR00759	2.0	1.0	0.4291	0.6895	0.8474	[Unknown|aceE1|Pyruvate dehydrogenase E1 component|loc|2686292 2688995 1 # ID=1_2377|Type=CDS|transl_table=11; Unknown|aceE2|Pyruvate dehydrogenase E1 component|loc|2931566 2934314 1 # ID=1_2613|Type=CDS|transl_table=11]	aceE: pyruvate dehydrogenase (acetyl-transferring), homodimeric type
TIGR01430	5.0	2.0	1.34	0.3158	0.7263	[Unknown|-|Adenine deaminase|loc|754475 755555 -1 # ID=1_664|Type=CDS|transl_table=11; Unknown|-|Adenine deaminase|loc|3107499 3108504 -1 # ID=1_2763|Type=CDS|transl_table=11; Unknown|-|Aminodeoxyfutalosine deaminase|loc|5163492 5164533 -1 # ID=1_4589|Type=CDS|transl_table=11; Unknown|-|Adenine deaminase|loc|5416442 5417606 1 # ID=1_4825|Type=CDS|transl_table=11; Unknown|add2|Aminodeoxyfutalosine deaminase|loc|6213032 6214100 -1 # ID=1_5544|Type=CDS|transl_table=11]	aden_deam: adenosine deaminase
TIGR00157	2.0	1.0	0.529	0.5737	0.8684	[Unknown|rsgA1|Putative ribosome biogenesis GTPase RsgA|loc|5720594 5721605 -1 # ID=1_5093|Type=CDS|transl_table=11; Unknown|rsgA2|Putative ribosome biogenesis GTPase RsgA|loc|6866049 6867126 1 # ID=1_6079|Type=CDS|transl_table=11]	TIGR00157: ribosome small subunit-dependent GTPase A
TIGR01900	2.0	1.0	0.1704	0.8526	0.8789	[Unknown|dapE3|Succinyl-diaminopimelate desuccinylase|loc|3538147 3539203 -1 # ID=1_3134|Type=CDS|transl_table=11; Unknown|dapE4|Succinyl-diaminopimelate desuccinylase|loc|5627312 5628392 1 # ID=1_5013|Type=CDS|transl_table=11]	dapE-gram_pos: succinyl-diaminopimelate desuccinylase
TIGR02412	3.0	1.0	0.8329	0.5105	0.9158	[Unknown|pepN5|Aminopeptidase N|loc|2487053 2489564 -1 # ID=1_2199|Type=CDS|transl_table=11; Unknown|pepN6|Aminopeptidase N|loc|3242275 3244915 1 # ID=1_2873|Type=CDS|transl_table=11; Unknown|pepN7|Aminopeptidase N|loc|3260851 3263425 -1 # ID=1_2887|Type=CDS|transl_table=11]	pepN_strep_liv: aminopeptidase N
TIGR01311	3.0	1.0	0.7691	0.6474	0.8684	[Unknown|glpK1|Glycerol kinase|loc|659285 660800 1 # ID=1_575|Type=CDS|transl_table=11; Unknown|glpK2|Glycerol kinase|loc|1745300 1746830 1 # ID=1_1537|Type=CDS|transl_table=11; Unknown|glpK3|Glycerol kinase|loc|2063707 2065246 1 # ID=1_1817|Type=CDS|transl_table=11]	glycerol_kin: glycerol kinase
TIGR01751	2.0	1.0	0.7221	0.2158	0.3	[Unknown|ccrA2|Crotonyl-CoA reductase|loc|1109375 1110752 -1 # ID=1_981|Type=CDS|transl_table=11; Unknown|ccr2|Crotonyl-CoA reductase|loc|7200045 7201389 -1 # ID=1_6368|Type=CDS|transl_table=11]	crot-CoA-red: crotonyl-CoA carboxylase/reductase
TIGR00273	2.0	1.0	0.3612	0.3842	0.3947	[Unknown|lutB1|Lactate utilization protein B|loc|2812043 2813489 1 # ID=1_2490|Type=CDS|transl_table=11; Unknown|lutB2|Lactate utilization protein B|loc|7936866 7938345 -1 # ID=1_6911|Type=CDS|transl_table=11]	TIGR00273: iron-sulfur cluster-binding protein
TIGR00418	2.0	1.0	0.3889	0.8316	0.9947	[Unknown|thrS1|Threonine--tRNA ligase|loc|1908701 1910678 -1 # ID=1_1675|Type=CDS|transl_table=11; Unknown|thrS2|Threonine--tRNA ligase 1|loc|4650160 4651411 1 # ID=1_4109|Type=CDS|transl_table=11]	thrS: threonine--tRNA ligase
TIGR00057	2.0	1.0	0.6181	0.5842	0.9316	[Unknown|tsaC|Threonylcarbamoyl-AMP synthase|loc|636288 636909 1 # ID=1_552|Type=CDS|transl_table=11; Unknown|ywlC|Threonylcarbamoyl-AMP synthase|loc|5859706 5860354 1 # ID=1_5219|Type=CDS|transl_table=11]	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR02227	4.0	1.0	1.1572	0.5579	0.9789	[Unknown|lepB1|Signal peptidase I|loc|6169325 6170027 1 # ID=1_5499|Type=CDS|transl_table=11; Unknown|lepB2|Signal peptidase I|loc|6170019 6171111 1 # ID=1_5500|Type=CDS|transl_table=11; Unknown|lepB3|Signal peptidase I|loc|6171094 6171985 1 # ID=1_5501|Type=CDS|transl_table=11; Unknown|lepB4|Signal peptidase I|loc|6172048 6172831 1 # ID=1_5502|Type=CDS|transl_table=11]	sigpep_I_bact: signal peptidase I
TIGR00233	2.0	1.0	0.7402	0.7211	1.0	[Unknown|trpS1|Tryptophan--tRNA ligase|loc|4970808 4971834 -1 # ID=1_4401|Type=CDS|transl_table=11; Unknown|trpS2|Tryptophan--tRNA ligase|loc|5353858 5354875 1 # ID=1_4763|Type=CDS|transl_table=11]	trpS: tryptophan--tRNA ligase
TIGR03160	2.0	1.0	0.3864	0.4474	0.5474	[Unknown|cobT|Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|loc|1929960 1934466 -1 # ID=1_1697|Type=CDS|transl_table=11; Unknown|cobU2|Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase|loc|2674418 2675525 1 # ID=1_2368|Type=CDS|transl_table=11]	cobT_DBIPRT: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
SHMT	4.0	1.0	0.8787	0.5842	0.9474	[Unknown|glyA1|Serine hydroxymethyltransferase|loc|4539708 4541067 1 # ID=1_4013|Type=CDS|transl_table=11; Unknown|glyA2|Serine hydroxymethyltransferase|loc|5352281 5353736 1 # ID=1_4762|Type=CDS|transl_table=11; Unknown|glyA3|Serine hydroxymethyltransferase|loc|5861127 5862366 1 # ID=1_5221|Type=CDS|transl_table=11; Unknown|glyA4|Serine hydroxymethyltransferase 2|loc|5994150 5995419 -1 # ID=1_5342|Type=CDS|transl_table=11]	PF00464.15: Serine hydroxymethyltransferase
TIGR01135	2.0	1.0	0.4388	0.7789	0.9842	[Unknown|glmS2|Glutamine--fructose-6-phosphate aminotransferase [isomerizing]|loc|3422349 3424167 1 # ID=1_3023|Type=CDS|transl_table=11; Unknown|glmS3|Glutamine--fructose-6-phosphate aminotransferase [isomerizing]|loc|5228530 5230378 1 # ID=1_4659|Type=CDS|transl_table=11]	glmS: glutamine-fructose-6-phosphate transaminase (isomerizing)
GrpE	2.0	1.0	0.521	0.8368	1.0	[Unknown|-|heat shock protein GrpE|loc|4733241 4733904 1 # ID=1_4186|Type=CDS|transl_table=11; Unknown|-|heat shock protein GrpE|loc|6692583 6693033 -1 # ID=1_5928|Type=CDS|transl_table=11]	PF01025.15: GrpE
Cpn10	2.0	1.0	0.519	0.6211	1.0	[Unknown|groS1|10 kDa chaperonin 1|loc|3499662 3500022 1 # ID=1_3097|Type=CDS|transl_table=11; Unknown|groS2|10 kDa chaperonin|loc|5251830 5252139 1 # ID=1_4681|Type=CDS|transl_table=11]	PF00166.17: Chaperonin 10 Kd subunit
Ribosomal_S14	2.0	1.0	0.5099	0.6105	0.9895	[Unknown|rpsN|30S ribosomal protein S14|loc|4887204 4887510 -1 # ID=1_4316|Type=CDS|transl_table=11; Unknown|rpsZ|30S ribosomal protein S14 type Z|loc|5207170 5207356 1 # ID=1_4633|Type=CDS|transl_table=11]	PF00253.17: Ribosomal protein S14p/S29e
TIGR00105	3.0	1.0	0.6939	0.6053	1.0	[Unknown|rpmE1|50S ribosomal protein L31 type B|loc|1410039 1410303 1 # ID=1_1178|Type=CDS|transl_table=11; Unknown|rpmE2|50S ribosomal protein L31 type B|loc|4887979 4888243 1 # ID=1_4319|Type=CDS|transl_table=11; Unknown|rpmE3|50S ribosomal protein L31|loc|5857375 5857600 1 # ID=1_5216|Type=CDS|transl_table=11]	L31: ribosomal protein bL31
TIGR00674	3.0	1.0	0.6145	0.7737	0.9684	[Unknown|dapA2|4-hydroxy-tetrahydrodipicolinate synthase|loc|2344992 2345892 1 # ID=1_2074|Type=CDS|transl_table=11; Unknown|dapA3|4-hydroxy-tetrahydrodipicolinate synthase|loc|4553023 4553914 -1 # ID=1_4024|Type=CDS|transl_table=11; Unknown|dapA4|4-hydroxy-tetrahydrodipicolinate synthase|loc|6293229 6294129 1 # ID=1_5605|Type=CDS|transl_table=11]	dapA: 4-hydroxy-tetrahydrodipicolinate synthase
TIGR02350	2.0	1.0	0.5448	0.8579	1.0	[Unknown|dnaK1|Chaperone protein DnaK|loc|4731391 4733242 1 # ID=1_4185|Type=CDS|transl_table=11; Unknown|dnaK2|Chaperone protein DnaK|loc|6693035 6694892 -1 # ID=1_5929|Type=CDS|transl_table=11]	prok_dnaK: chaperone protein DnaK
TIGR02891	5.0	1.0	0.9994	0.4474	0.8474	[Unknown|ctaD1|Cytochrome c oxidase subunit 1|loc|2175587 2177255 1 # ID=1_1922|Type=CDS|transl_table=11; Unknown|ctaD2|Cytochrome c oxidase subunit 1|loc|2652514 2654248 -1 # ID=1_2349|Type=CDS|transl_table=11; Unknown|ctaD3|Cytochrome c oxidase subunit 1|loc|2972347 2974072 -1 # ID=1_2650|Type=CDS|transl_table=11; Unknown|ctaD4|Cytochrome c oxidase subunit 1|loc|8066075 8067758 -1 # ID=1_6999|Type=CDS|transl_table=11; Unknown|ctaD5|Cytochrome c oxidase subunit 1|loc|8085187 8086780 -1 # ID=1_7016|Type=CDS|transl_table=11]	CtaD_CoxA: cytochrome c oxidase, subunit I
TIGR03690	2.0	1.0	0.2534	0.5684	0.6105	[Unknown|prcB1|Proteasome subunit beta precursor|loc|2041805 2042582 -1 # ID=1_1800|Type=CDS|transl_table=11; Unknown|prcB2|Proteasome subunit beta precursor|loc|8134820 8135675 1 # ID=1_7058|Type=CDS|transl_table=11]	20S_bact_beta: proteasome, beta subunit
TIGR03451	2.0	1.0	0.5052	0.5789	0.6895	[Unknown|-|S-(hydroxymethyl)mycothiol dehydrogenase|loc|1759277 1760363 1 # ID=1_1547|Type=CDS|transl_table=11; Unknown|-|S-(hydroxymethyl)mycothiol dehydrogenase|loc|8090557 8091646 1 # ID=1_7021|Type=CDS|transl_table=11]	mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase
TIGR00079	3.0	2.0	0.7097	0.3579	0.9421	[Unknown|def1|Peptide deformylase|loc|1539367 1539967 -1 # ID=1_1343|Type=CDS|transl_table=11; Unknown|def2|Peptide deformylase|loc|5087116 5087740 -1 # ID=1_4518|Type=CDS|transl_table=11; Unknown|def3|Peptide deformylase|loc|5734871 5735522 1 # ID=1_5105|Type=CDS|transl_table=11]	pept_deformyl: peptide deformylase
TIGR01023	2.0	1.0	0.6482	0.5737	0.9895	[Unknown|rpmG1|50S ribosomal protein L33 2|loc|4887807 4887972 1 # ID=1_4318|Type=CDS|transl_table=11; Unknown|rpmG2|50S ribosomal protein L33 2|loc|5157191 5157356 1 # ID=1_4581|Type=CDS|transl_table=11]	rpmG_bact: ribosomal protein bL33
TIGR01412	2.0	1.0	0.7398	0.4105	0.5105	[Unknown|efeN|putative deferrochelatase/peroxidase EfeN precursor|loc|2795009 2796266 1 # ID=1_2474|Type=CDS|transl_table=11; Unknown|-|Dye-decolorizing peroxidase precursor|loc|4387490 4388777 1 # ID=1_3889|Type=CDS|transl_table=11]	tat_substr_1: Tat-translocated enzyme
TIGR00481	2.0	1.0	0.524	0.6789	0.8684	[Unknown|-|putative kinase inhibitor protein|loc|931745 932255 1 # ID=1_839|Type=CDS|transl_table=11; Unknown|-|putative kinase inhibitor|loc|2224435 2224975 1 # ID=1_1963|Type=CDS|transl_table=11]	TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family
TIGR00485	2.0	1.0	0.4065	0.8316	0.9947	[Unknown|tuf1|Elongation factor Tu|loc|1653344 1654514 -1 # ID=1_1449|Type=CDS|transl_table=11; Unknown|tuf2|Elongation factor Tu|loc|5185979 5187173 1 # ID=1_4606|Type=CDS|transl_table=11]	EF-Tu: translation elongation factor Tu
TIGR00484	2.0	1.0	0.2697	0.9211	1.0	[Unknown|fusA1|Elongation factor G|loc|5183696 5185823 1 # ID=1_4605|Type=CDS|transl_table=11; Unknown|fusA2|Elongation factor G|loc|7308115 7310167 1 # ID=1_6466|Type=CDS|transl_table=11]	EF-G: translation elongation factor G
TIGR01064	2.0	1.0	0.3924	0.8421	0.9684	[Unknown|pyk1|Pyruvate kinase|loc|2479597 2481034 -1 # ID=1_2194|Type=CDS|transl_table=11; Unknown|pyk2|Pyruvate kinase|loc|5919317 5920742 -1 # ID=1_5280|Type=CDS|transl_table=11]	pyruv_kin: pyruvate kinase
TIGR01534	4.0	1.0	0.6895	0.6737	1.0	[Unknown|gap1|Glyceraldehyde-3-phosphate dehydrogenase 1|loc|435560 436559 1 # ID=1_372|Type=CDS|transl_table=11; Unknown|gap2|Glyceraldehyde-3-phosphate dehydrogenase|loc|612650 614096 1 # ID=1_529|Type=CDS|transl_table=11; Unknown|gap3|Glyceraldehyde-3-phosphate dehydrogenase 2|loc|2394674 2395682 -1 # ID=1_2121|Type=CDS|transl_table=11; Unknown|gap4|Glyceraldehyde-3-phosphate dehydrogenase 2|loc|7122022 7123036 1 # ID=1_6299|Type=CDS|transl_table=11]	GAPDH-I: glyceraldehyde-3-phosphate dehydrogenase, type I
